CrashSeverity,Latitude,Longitude
Serious Injury Suspected,40.963504,-82.109569
Injury Possible,40.824979,-81.938435
Property Damage Only,40.843275,-81.944139
Minor Injury Suspected,40.832695,-81.915515
Property Damage Only,40.834744,-81.932864
Property Damage Only,40.852195,-81.926222
Property Damage Only,40.841783,-81.939616
Property Damage Only,40.8225,-81.934167
Property Damage Only,40.776713,-81.929211
Property Damage Only,40.800325,-81.934393
Property Damage Only,40.834153,-81.929498
Injury Possible,40.822424,-81.921639
Property Damage Only,40.828549,-81.926788
Property Damage Only,40.843423,-81.942543
Injury Possible,40.800834,-81.969722
Property Damage Only,40.857907,-81.928128
Property Damage Only,40.828434,-81.911209
Property Damage Only,40.793364,-81.953536
Minor Injury Suspected,40.817618,-81.929382
Injury Possible,40.796975,-81.939604
Property Damage Only,40.806002,-81.953672
Property Damage Only,40.850919,-81.947204
Property Damage Only,40.809722,-81.934722
Property Damage Only,40.81391,-81.938821
Property Damage Only,40.8048,-81.938362
Property Damage Only,40.804939,-81.938364
Property Damage Only,40.748447,-81.944281
Property Damage Only,40.828498,-81.925269
Serious Injury Suspected,40.784293,-81.932318
Property Damage Only,40.828498,-81.925269
Property Damage Only,40.804805,-81.938476
Property Damage Only,40.82819,-81.92519
Property Damage Only,40.831695,-81.923342
Minor Injury Suspected,40.81601,-81.91825
Minor Injury Suspected,40.843282,-81.939904
Property Damage Only,40.850302,-81.946262
Property Damage Only,40.828617,-81.938789
Property Damage Only,40.843412,-81.945928
Property Damage Only,40.826704,-81.921418
Property Damage Only,40.801708,-81.922847
Property Damage Only,40.803513,-81.941278
Property Damage Only,40.841444,-81.939531
Property Damage Only,40.826426,-81.908381
Property Damage Only,40.816269,-81.912017
Property Damage Only,40.80579,-81.93175
Minor Injury Suspected,40.79885,-81.92705
Property Damage Only,40.813885,-81.939676
Property Damage Only,40.855433,-81.925822
Property Damage Only,40.828509,-81.915552
Property Damage Only,40.814032,-81.948958
Property Damage Only,40.791919,-81.935958
Injury Possible,40.825665,-81.933062
Property Damage Only,40.84371,-81.935131
Property Damage Only,40.828417,-81.915517
Serious Injury Suspected,40.823783,-81.921843
Property Damage Only,40.849113,-81.945312
Property Damage Only,40.799333,-81.965679
Property Damage Only,40.850819,-81.926532
Property Damage Only,40.79937,-81.940298
Property Damage Only,40.828339,-81.909471
Property Damage Only,40.83682,-81.92929
Property Damage Only,40.800114,-81.943721
Property Damage Only,40.808155,-81.915847
Property Damage Only,40.845676,-81.944051
Property Damage Only,40.801012,-81.94074
Property Damage Only,40.813782,-81.924448
Property Damage Only,40.809584,-81.914812
Property Damage Only,40.796683,-81.93472
Property Damage Only,40.843031,-81.941036
Property Damage Only,40.821944,-81.959167
Minor Injury Suspected,40.847514,-81.945144
Property Damage Only,40.801625,-81.93518
Injury Possible,40.813861,-81.923146
Minor Injury Suspected,40.80477,-81.93688
Property Damage Only,40.798152,-81.939905
Property Damage Only,40.806236,-81.941177
Property Damage Only,40.839964,-81.939646
Property Damage Only,40.812142,-81.963463
Injury Possible,40.834494,-81.929482
Injury Possible,40.857375,-81.926282
Injury Possible,40.807076,-81.93363
Property Damage Only,40.804946,-81.934354
Property Damage Only,40.796863,-81.936302
Injury Possible,40.802477,-81.936152
Property Damage Only,40.813511,-81.963269
Property Damage Only,40.788333,-81.934167
Property Damage Only,40.839202,-81.940428
Property Damage Only,40.843296,-81.941931
Property Damage Only,40.791984,-81.936033
Property Damage Only,40.808756,-81.938311
Property Damage Only,40.819366,-81.935965
Property Damage Only,40.831182,-81.9389
Injury Possible,40.857705,-81.924739
Property Damage Only,40.828445,-81.900709
Injury Possible,40.838283,-81.929771
Property Damage Only,40.798963,-81.94186
Property Damage Only,40.84298,-81.942159
Property Damage Only,40.81988,-81.95356
Property Damage Only,40.804481,-81.94153
Property Damage Only,40.813902,-81.938309
Property Damage Only,40.803278,-81.934471
Property Damage Only,40.793493,-81.938976
Property Damage Only,40.825,-81.956389
Property Damage Only,40.828428,-81.931824
Minor Injury Suspected,40.843261,-81.942311
Property Damage Only,40.843116,-81.934364
Property Damage Only,40.799511,-81.945975
Property Damage Only,40.820574,-81.956385
Property Damage Only,40.784462,-81.928253
Property Damage Only,40.804859,-81.928619
Property Damage Only,40.836038,-81.929496
Minor Injury Suspected,40.832048,-81.925484
Property Damage Only,40.798657,-81.936737
Property Damage Only,40.801743,-81.932052
Property Damage Only,40.79627,-81.944238
Property Damage Only,40.828663,-81.93176
Property Damage Only,40.807171,-81.941151
Property Damage Only,40.857777,-81.927327
Property Damage Only,40.798742,-81.936242
Property Damage Only,40.798387,-81.93695
Property Damage Only,40.843232,-81.942018
Property Damage Only,40.796566,-81.939599
Property Damage Only,40.856156,-81.925157
Property Damage Only,40.842882,-81.943568
Minor Injury Suspected,40.803889,-81.955556
Property Damage Only,40.789431,-81.930529
Property Damage Only,40.798152,-81.940441
Property Damage Only,40.804841,-81.938337
Property Damage Only,40.819338,-81.935902
Property Damage Only,40.841531,-81.939438
Property Damage Only,40.789312,-81.941039
Injury Possible,40.798183,-81.939923
Property Damage Only,40.855586,-81.925237
Property Damage Only,40.825,-81.930833
Property Damage Only,40.842662,-81.930766
Property Damage Only,40.802088,-81.935027
Property Damage Only,40.798513,-81.93671
Property Damage Only,40.800341,-81.943794
Property Damage Only,40.797181,-81.936414
Property Damage Only,40.79464,-81.940624
Injury Possible,40.857488,-81.926324
Injury Possible,40.79901,-81.936706
Property Damage Only,40.843234,-81.945552
Minor Injury Suspected,40.84029,-81.93987
Property Damage Only,40.790756,-81.93488
Property Damage Only,40.843261,-81.942537
Property Damage Only,40.826478,-81.921378
Property Damage Only,40.832757,-81.949833
Property Damage Only,40.79988,-81.9386
Property Damage Only,40.828509,-81.909136
Property Damage Only,40.842527,-81.928801
Property Damage Only,40.798026,-81.924807
Property Damage Only,40.799408,-81.940105
Injury Possible,40.828561,-81.931772
Injury Possible,40.857723,-81.924242
Property Damage Only,40.824526,-81.933487
Property Damage Only,40.807597,-81.941025
Property Damage Only,40.83741,-81.915592
Injury Possible,40.857761,-81.924242
Property Damage Only,40.80257,-81.93185
Property Damage Only,40.838636,-81.929381
Minor Injury Suspected,40.85418,-81.92573
Property Damage Only,40.84746,-81.94506
Property Damage Only,40.80413,-81.931294
Property Damage Only,40.822377,-81.934353
Property Damage Only,40.797418,-81.943033
Minor Injury Suspected,40.841797,-81.939639
Property Damage Only,40.799722,-81.945833
Property Damage Only,40.85775,-81.951569
Property Damage Only,40.801449,-81.934166
Property Damage Only,40.799888,-81.937126
Property Damage Only,40.781086,-81.931597
Property Damage Only,40.841813,-81.939638
Property Damage Only,40.845668,-81.943911
Property Damage Only,40.843308,-81.942644
Property Damage Only,40.850955,-81.9479
Property Damage Only,40.803889,-81.941667
Injury Possible,40.82856,-81.915025
Property Damage Only,40.843769,-81.939925
Property Damage Only,40.82856,-81.915025
Minor Injury Suspected,40.841229,-81.929491
Injury Possible,40.824424,-81.932842
Minor Injury Suspected,40.797278,-81.946
Property Damage Only,40.798606,-81.936725
Property Damage Only,40.826587,-81.938755
Property Damage Only,40.812508,-81.934278
Property Damage Only,40.797701,-81.94318
Property Damage Only,40.793411,-81.949803
Minor Injury Suspected,40.804685,-81.95365
Property Damage Only,40.797715,-81.941456
Property Damage Only,40.835914,-81.939415
Property Damage Only,40.794683,-81.935905
Property Damage Only,40.828427,-81.913565
Minor Injury Suspected,40.796505,-81.942762
Property Damage Only,40.804658,-81.953639
Injury Possible,40.835225,-81.926678
Property Damage Only,40.825864,-81.921318
Property Damage Only,40.843881,-81.939961
Minor Injury Suspected,40.84029,-81.93987
Property Damage Only,40.8433,-81.942319
Property Damage Only,40.804707,-81.953679
Property Damage Only,40.843332,-81.942186
Property Damage Only,40.857972,-81.951616
Property Damage Only,40.8048,-81.94084
Property Damage Only,40.807609,-81.915088
Minor Injury Suspected,40.795924,-81.938458
Property Damage Only,40.845878,-81.944079
Property Damage Only,40.843128,-81.94237
Injury Possible,40.799346,-81.940489
Injury Possible,40.830977,-81.930723
Property Damage Only,40.813899,-81.938307
Property Damage Only,40.805082,-81.93843
Property Damage Only,40.79833,-81.936539
Property Damage Only,40.852552,-81.948308
Injury Possible,40.847482,-81.945129
Property Damage Only,40.80341,-81.966536
Property Damage Only,40.84355,-81.939901
Property Damage Only,40.802499,-81.94427
Property Damage Only,40.804944,-81.934384
Minor Injury Suspected,40.804775,-81.938418
Property Damage Only,40.798401,-81.93426
Property Damage Only,40.801398,-81.935138
Property Damage Only,40.842642,-81.915739
Property Damage Only,40.81497,-81.938217
Property Damage Only,40.815347,-81.937998
Injury Possible,40.85777,-81.92466
Property Damage Only,40.857611,-81.95125
Property Damage Only,40.80275,-81.932076
Property Damage Only,40.797778,-81.941111
Property Damage Only,40.797666,-81.934924
Property Damage Only,40.798092,-81.941578
Property Damage Only,40.841329,-81.930057
Property Damage Only,40.814839,-81.938342
Property Damage Only,40.857667,-81.922528
Property Damage Only,40.793368,-81.936083
Property Damage Only,40.857631,-81.918095
Property Damage Only,40.799633,-81.934539
Property Damage Only,40.79354,-81.9384
Property Damage Only,40.821686,-81.934853
Property Damage Only,40.800556,-81.949722
Minor Injury Suspected,40.810904,-81.940473
Property Damage Only,40.811427,-81.916682
Property Damage Only,40.806667,-81.944444
Property Damage Only,40.843233,-81.944178
Property Damage Only,40.799441,-81.950066
Property Damage Only,40.791967,-81.93611
Property Damage Only,40.841474,-81.939544
Property Damage Only,40.828476,-81.914529
Property Damage Only,40.799763,-81.95042
Property Damage Only,40.841292,-81.929882
Property Damage Only,40.820639,-81.938549
Property Damage Only,40.821861,-81.954824
Property Damage Only,40.831402,-81.930446
Property Damage Only,40.795353,-81.942575
Property Damage Only,40.797615,-81.925086
Property Damage Only,40.857739,-81.924755
Property Damage Only,40.856216,-81.925095
Injury Possible,40.798639,-81.936554
Injury Possible,40.799014,-81.949573
Property Damage Only,40.799177,-81.941657
Property Damage Only,40.843262,-81.945184
Injury Possible,40.829331,-81.922844
Property Damage Only,40.797939,-81.941522
Injury Possible,40.804789,-81.938372
Property Damage Only,40.799759,-81.936974
Minor Injury Suspected,40.792247,-81.952355
Property Damage Only,40.825269,-81.921105
Property Damage Only,40.80867,-81.93596
Property Damage Only,40.811514,-81.915925
Property Damage Only,40.796528,-81.942749
Property Damage Only,40.802064,-81.932064
Property Damage Only,40.836219,-81.933603
Injury Possible,40.837283,-81.929335
Property Damage Only,40.814956,-81.9188
Property Damage Only,40.857708,-81.924735
Property Damage Only,40.788417,-81.9345
Minor Injury Suspected,40.806592,-81.924744
Property Damage Only,40.833866,-81.903896
Property Damage Only,40.814364,-81.912478
Fatal,40.843085,-81.929176
Property Damage Only,40.803635,-81.939719
Property Damage Only,40.819558,-81.934291
Minor Injury Suspected,40.831142,-81.938966
Property Damage Only,40.801222,-81.940631
Property Damage Only,40.828426,-81.915422
Property Damage Only,40.799856,-81.9346
Injury Possible,40.842028,-81.939698
Property Damage Only,40.851336,-81.946593
Property Damage Only,40.795978,-81.937895
Property Damage Only,40.809545,-81.914568
Property Damage Only,40.831785,-81.923705
Property Damage Only,40.79896,-81.9394
Property Damage Only,40.791745,-81.936331
Minor Injury Suspected,40.857714,-81.92477
Injury Possible,40.7907,-81.935951
Property Damage Only,40.79567,-81.948158
Property Damage Only,40.797494,-81.945963
Property Damage Only,40.84499,-81.943444
Property Damage Only,40.827835,-81.908566
Property Damage Only,40.837175,-81.929564
Property Damage Only,40.842267,-81.939728
Injury Possible,40.804759,-81.953633
Property Damage Only,40.845512,-81.940152
Property Damage Only,40.816094,-81.934253
Serious Injury Suspected,40.79701,-81.93014
Property Damage Only,40.835963,-81.941233
Property Damage Only,40.796926,-81.93632
Property Damage Only,40.864259,-81.92306
Property Damage Only,40.802818,-81.93434
Property Damage Only,40.796186,-81.924744
Property Damage Only,40.82528,-81.935
Injury Possible,40.793686,-81.94986
Property Damage Only,40.799593,-81.93877
Property Damage Only,40.857791,-81.951292
Injury Possible,40.820091,-81.962807
Property Damage Only,40.834335,-81.9344
Property Damage Only,40.804446,-81.924661
Property Damage Only,40.821896,-81.953876
Property Damage Only,40.792415,-81.95229
Property Damage Only,40.749622,-81.9362
Property Damage Only,40.827604,-81.919921
Minor Injury Suspected,40.83825,-81.929488
Serious Injury Suspected,40.81958,-81.934254
Property Damage Only,40.840778,-81.939532
Property Damage Only,40.835901,-81.941245
Injury Possible,40.838782,-81.897144
Property Damage Only,40.797787,-81.941498
Minor Injury Suspected,40.785977,-81.948549
Property Damage Only,40.800192,-81.934302
Property Damage Only,40.823497,-81.939125
Property Damage Only,40.808424,-81.915777
Property Damage Only,40.796151,-81.942727
Property Damage Only,40.79776,-81.947541
Property Damage Only,40.798865,-81.94341
Property Damage Only,40.842366,-81.941417
Property Damage Only,40.828364,-81.90411
